LineId,Host,Identity,Authuser,Date,Request,Status,Bytes,Referrer,User_Agent
1,18.217.252.244,-,-,30/Nov/2018:17:46:01 +0530,GET / HTTP/1.1,200,141,-,Mozilla/5.0 (Macintosh; Intel Mac OS X x.y; rv:42.0) Gecko/20100101 Safari/602.1\
2,37.9.113.104,-,-,30/Nov/2018:18:09:24 +0530,GET /robots.txt HTTP/1.1,404,613,-,Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)\
3,37.9.113.104,-,-,30/Nov/2018:18:09:28 +0530,GET /favicon.ico HTTP/1.1,404,613,-,Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)\
4,3.17.5.197,-,-,30/Nov/2018:18:17:19 +0530,GET / HTTP/1.1,200,141,-,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Trident/5.0 Firefox/42.0\
5,54.36.148.42,-,-,30/Nov/2018:18:20:43 +0530,GET /mj/fetch.php HTTP/1.1,404,613,-,Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)\
6,103.69.244.33,-,-,30/Nov/2018:18:32:25 +0530,POST /sanjeet/insert.php HTTP/1.1,200,14,-,Dalvik/2.1.0 (Linux; U; Android 6.0.1; Redmi Note 3 MIUI/V9.6.3.0.MHOMIFD)\
7,103.69.244.33,-,-,30/Nov/2018:18:32:26 +0530,POST /sanjeet/fetch.php HTTP/1.1,200,7610,-,Dalvik/2.1.0 (Linux; U; Android 6.0.1; Redmi Note 3 MIUI/V9.6.3.0.MHOMIFD)\
8,103.69.244.33,-,-,30/Nov/2018:18:32:35 +0530,POST /sanjeet/fetch.php HTTP/1.1,200,7610,-,Dalvik/2.1.0 (Linux; U; Android 6.0.1; Redmi Note 3 MIUI/V9.6.3.0.MHOMIFD)\
9,157.55.39.46,-,-,30/Nov/2018:18:34:41 +0530,GET /robots.txt HTTP/1.1,404,613,-,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)\
10,40.77.167.9,-,-,30/Nov/2018:18:34:47 +0530,GET /wasim/?C=N;O=A HTTP/1.1,200,777,-,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)\
